textEN	emotionEN	textES	emotionES
@realDonaldTrump Stock market. Missing Covid-19 test kits. Medical supply chain. Vaccine. Oil prices. Global conflict. THESE are what Matter!!!	Anger	@CasaRosada @alferdez Y LAS PYMES?????? SOY EMPLEADO DE COMERCIO Y NO ME VAN A PAGAR EL SUELDO. NO TIENEN UN MANGO!! TIREN UNA SOGA PARA LAS PEQUEÑAS Y MEDIANAS EMPRESAS!!! SE VAN A FUNDIR Y VAMOS A SER MILES DE DESOCUPADOS!!!	Fear
@WhiteHouse @realDonaldTrump @Apple @CDCgov @fema Current Chinese Global Supply Chain Monopoly and COVID-19: How to Beat Them Both Current Analysis and State of Global Supply Chain Management Includin https://t.co/KNEyqrxrO8	No emotion	@CasaRosada @alferdez Ministro de desarollo y su https://t.co/NtlXngYtZ4 es por el comercio como hacen los pocos que estan abiertos dejan entrar de a uno.o.poca gente a la vez y si es por la circulacion de gente entonces hay que seguir asi hasta el 21-09.	No emotion
@realDonaldTrump @VP Donald Trump Shut Down Global Health Security - Pandemic Response Team - All Americans are paying the price now https://t.co/RMFSoYdf1e	Sadness	@CasaRosada @alferdez un presidente @alferdez , firme , equilibrado y justo , inflexible con los ventajeros poderosos, ,siento que me escucha , el sector financiero empezando por la banca publica tiene que poner el hombro, tanto en la atencion al publico y con las tarjetas de credito , juntos a la par	Joy
@realDonaldTrump @CDCgov Obama left Trump with: -- a growing economy, -- a shrinking deficit, -- a global agreement to fight climate change, -- an office on global health security to manage pandemic preparedness, -- functioning State and Justice Departments, -- an Iran deal. Trump will leave ...	Sadness	@CasaRosada @alferdez Los monotributistas C en adelante con comercio cerrado no podemos pagar impuestos y servicios.	Disgust
@realDonaldTrump ..the Global Health Security Agenda (GHSA), which is a multi-faceted, multi-country initiative intended to accelerate partner countries' measurable capabilities to achieve specific targets to prevent, detect, &amp; respond to infectious disease threats (GHSA targets), whether...	No emotion	Alberto le propuso al G20 la creación de un “Fondo Mundial de Emergencia Humanitaria” @alferdez https://t.co/afLCIYLfpA https://t.co/I30Yh85rMs	No emotion
@realDonaldTrump Economic shutdown is now affecting farmers BIG TIME! If we lose our farmers &amp; food supply chain, we're really SCREWED! Let's get this economy open already before it's too late @WhiteHouse @Mike_Pence @USTreasury @larry_kudlow @NFUDC @P_Edelburg @FoxNews	Fear	@CasaRosada @alferdez Y los autónomos de categorías c que hoy no pueden abrir sus comercios y no reciben ninguna ayuda???	Anger
@realDonaldTrump Renewable energy includes all sources that do not cause any harm to environment and have minimal impact on the surrounding environment. This is the only reason that it is said that all renewable energy sources are sustainable but all sustainable energy sources are not renewable.	No emotion	@CasaRosada @alferdez sistema de turnos con prioridades PARA TODAS las actividades (bancos, cobranzas, tramites, etc) #turnos #implementarturnosya	No emotion
@WhiteHouse @realDonaldTrump The US should led the global supply chain and should get the World ready and be prepared for the worst case. Since the borders are closed, unmanaged and non-optimized global food trade might eventually affect the food supplies.	No emotion	En política internacional, @alferdez dijo que: “No digamos que nos importa la vida si condenamos a Cuba y Venezuela a semejante orfandad. Es una cuestión humanitaria exclusivamente” en referencia a la charla con el G20 https://t.co/1KuWpWatR4	No emotion
@WhiteHouse Please consider enjoying a healthy whole food plant based diet. It can help heal many ailments and prevent sickness, too. I've been #Vegan for 32+ years. It's easy, tasty and fun! Wishing everyone good health and happiness! xoxo	Joy	@CasaRosada @alferdez Hay que ser responsables en estos momentos hay bloqueo en el puente internacional que conecta Salvador Mazza con Bolivia perjudicando el libre paso mercaderías e insumos de exportación e importación que hace ante esto su gobierno señor @alferdez	Disgust
@realDonaldTrump Thank you @realDonaldTrump for your leadership. Food, water, energy and infrastructure are critical priorities to drive a sustainable/growing economy for all Americans. God Bless you and your family.	Joy	@CasaRosada buen día!!! Necesitamos que incluyan a las librerias como comercio de necesidad, ya que las clases continúan virtualmente y se necesitan útiles para poder realizar las tareas. Gracias!	Disgust
@realDonaldTrump @SBAgov https://t.co/DW488HZ9vW ADVANCING THE GLOBAL HEALTH SECURITY AGENDA TO ACHIEVE A WORLD SAFE &amp; SECURE FROM INFECTIOUS DISEASE THREATS Sec 1. Policy. As articulated in the National Strategy for Countering Biological Threats &amp; implemented in Presidential Policy Directive 2..	Joy	@CasaRosada @alferdez Presi si la curva afloja, desde el 1/04 ya podrían liberarse comercios minoristas (excepto bares y restaurantes) y cuentapropistas unipersonales..	No emotion
"""@realDonaldTrump @POTUS Ghandy says: """" health is wealth"""", so grant them good healh, and you will gain their wealhy trust, confidence and passion. And they will turn against their regime, believe me....."""	Trust	"""El presidente @alferdez propuso al #G20 crear un Fondo Mundial de Emergencia Humanitaria. """"Si el dilema es la economía o la vida, yo elijo la vida"""".👏❤🇦🇷 #ArgentinaUnida @JorArguello https://t.co/mcXNxgvVHm"""	No emotion
